iter	Passed	Remaining
606	16711	38350
607	16736	38318
608	16759	38280
609	16786	38251
610	16812	38220
611	16841	38195
612	16866	38163
613	16894	38136
614	16923	38111
615	16949	38082
616	16978	38058
617	17006	38031
618	17035	38006
619	17063	37979
620	17093	37958
621	17121	37932
622	17149	37905
623	17180	37884
624	17211	37865
625	17238	37836
626	17264	37805
627	17295	37785
628	17326	37765
629	17352	37735
630	17377	37701
631	17401	37666
632	17429	37640
633	17456	37611
634	17484	37584
635	17510	37553
636	17534	37518
637	17559	37486
638	17588	37461
639	17614	37431
640	17640	37401
641	17666	37369
642	17694	37343
643	17722	37317
644	17756	37301
645	17784	37275
646	17810	37244
647	17835	37212
648	17863	37185
649	17887	37151
650	17910	37113
651	17933	37078
652	17958	37043
653	17988	37022
654	18015	36992
655	18043	36966
656	18070	36939
657	18096	36908
658	18125	36883
659	18151	36852
660	18174	36816
661	18200	36786
662	18228	36759
663	18252	36725
664	18277	36692
665	18304	36663
666	18330	36633
667	18354	36599
668	18385	36578
669	18419	36564
670	18445	36533
671	18474	36509
672	18501	36480
673	18528	36452
674	18558	36429
675	18585	36401
676	18616	36380
677	18647	36359
678	18676	36334
679	18703	36306
680	18728	36274
681	18758	36251
682	18785	36222
683	18807	36185
684	18832	36152
685	18855	36115
686	18883	36090
687	18911	36063
688	18936	36031
689	18963	36002
690	18991	35977
691	19016	35944
692	19041	35912
693	19073	35892
694	19100	35865
695	19132	35845
696	19157	35814
697	19186	35789
698	19217	35768
699	19243	35737
700	19271	35710
701	19296	35678
702	19324	35652
703	19349	35619
704	19376	35592
705	19401	35560
706	19427	35529
707	19454	35501
708	19481	35473
709	19505	35439
710	19530	35407
711	19561	35387
712	19585	35353
713	19618	35334
714	19650	35315
715	19679	35291
716	19703	35257
717	19733	35235
718	19762	35208
719	19793	35189
720	19824	35166
721	19849	35135
722	19874	35104
723	19899	35070
724	19925	35041
725	19950	35009
726	19975	34978
727	20005	34955
728	20029	34920
729	20060	34900
730	20091	34878
731	20116	34847
732	20145	34821
733	20175	34798
734	20204	34773
735	20230	34742
736	20262	34723
737	20292	34701
738	20322	34677
739	20351	34652
740	20380	34627
741	20414	34611
742	20444	34587
743	20471	34559
744	20497	34529
745	20525	34503
746	20558	34483
747	20587	34459
748	20616	34434
749	20644	34408
750	20676	34387
751	20702	34356
752	20733	34336
753	20766	34317
754	20796	34292
755	20823	34264
756	20852	34240
757	20883	34217
758	20912	34192
759	20939	34164
760	20968	34139
761	20996	34111
762	21021	34081
763	21049	34054
764	21080	34031
765	21110	34008
766	21135	33976
767	21166	33954
768	21194	33928
769	21226	33907
770	21256	33884
771	21288	33862
772	21316	33836
773	21349	33817
774	21379	33792
775	21410	33770
776	21439	33745
777	21469	33722
778	21493	33688
779	21522	33664
780	21544	33626
781	21570	33597
782	21607	33583
783	21637	33559
784	21667	33536
785	21698	33513
786	21726	33486
787	21750	33454
788	21775	33422
789	21803	33395
790	21831	33368
791	21863	33346
792	21893	33323
793	21920	33295
794	21947	33265
795	21979	33244
796	22009	33221
797	22038	33195
798	22071	33176
799	22096	33145
800	22129	33125
801	22164	33108
802	22192	33080
803	22220	33054
804	22250	33030
805	22279	33005
806	22309	32980
